California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 93637,"37,743","18,871","18,872",29.9,28.8,30.8,3.34,3.72,"3,553","12,137","23,693","7,010","5,139","3,628",50.0%,32.2%,
ZCTA5 93638,"49,068","25,624","23,444",26,25.7,26.4,4.28,4.4,"5,201","17,293","28,857","6,766","4,853","3,309",47.8%,35.2%,
ZCTA5 93640,"11,880","6,560","5,320",26.1,26.8,25.1,4.51,4.49,"1,323","4,042","7,173","1,318",877,569,44.8%,34.0%,
ZCTA5 93641,595,352,243,47.6,44,50.3,2.16,2.76,19,81,498,203,143,94,40.8%,13.6%,
ZCTA5 93643,"3,171","1,576","1,595",51,51.4,50.6,2.41,2.88,153,612,"2,454","1,362","1,028",696,50.3%,19.3%,
ZCTA5 93644,"8,637","4,196","4,441",50.4,49,52,2.34,2.78,365,"1,551","6,833","3,732","3,024","2,288",51.4%,18.0%,
ZCTA5 93645,318,156,162,49,47.3,50.3,2.41,2.8,10,63,251,127,100,62,50.9%,19.8%,
ZCTA5 93646,"10,557","5,315","5,242",23.9,23.7,24.1,4.27,4.44,"1,309","4,155","5,803","1,323",919,617,49.7%,39.4%,
ZCTA5 93647,"11,874","6,164","5,710",26.3,26.1,26.6,4.30,4.42,"1,263","4,174","7,049","1,730","1,284",882,48.1%,35.2%,
ZCTA5 93648,"15,719","8,082","7,637",25.7,25.8,25.6,4.31,4.42,"1,779","5,724","9,111","1,974","1,406",953,48.6%,36.4%,
ZCTA5 93650,"4,055","1,930","2,125",28.8,26.4,31,2.98,3.71,327,"1,281","2,550",887,701,561,52.4%,31.6%,
ZCTA5 93651,"1,674",833,841,46.4,47.1,45.6,2.72,3.02,56,367,"1,239",550,376,245,50.2%,21.9%,
ZCTA5 93652,415,232,183,26.4,24.7,27.4,4.07,4.35,46,144,242,62,47,29,44.1%,34.7%,
ZCTA5 93653,"1,229",627,602,49.5,48.7,51.1,2.42,2.81,39,241,948,493,368,253,49.0%,19.6%,
ZCTA5 93654,"29,776","15,189","14,587",30.3,29.3,31.4,3.53,3.84,"2,571","9,351","18,800","5,672","4,250","3,093",49.0%,31.4%,
ZCTA5 93656,"6,313","3,221","3,092",28.5,27.8,29.4,3.67,4.02,617,"2,156","3,839","1,061",730,521,49.0%,34.2%,
ZCTA5 93657,"34,999","17,474","17,525",32.1,31.3,32.9,3.38,3.72,"2,911","10,725","22,579","7,464","5,568","4,012",50.1%,30.6%,
ZCTA5 93660,"4,675","2,378","2,297",23.8,24.2,23.4,4.42,4.56,540,"1,898","2,539",555,358,226,49.1%,40.6%,
ZCTA5 93662,"30,237","15,281","14,956",30.2,29.4,31.1,3.58,3.9,"2,613","9,454","19,169","5,775","4,368","3,163",49.5%,31.3%,
ZCTA5 93664,585,307,278,53.1,52.6,53.4,2.28,2.65,21,96,473,278,214,143,47.5%,16.4%,
ZCTA5 93665,472,231,241,27.8,28.3,27.4,3.69,4.12,47,161,284,85,63,36,51.1%,34.1%,
ZCTA5 93666,692,352,340,25.5,27.2,23.8,3.60,4.2,71,275,381,84,66,50,49.1%,39.7%,
ZCTA5 93667,"2,604","1,341","1,263",42,41.7,42.3,2.83,3.18,163,694,"1,808",753,549,376,48.5%,26.7%,
ZCTA5 93668,"1,118",583,535,32.7,32.1,33.2,3.43,3.86,101,362,704,252,189,120,47.9%,32.4%,
ZCTA5 93669,295,145,150,50.9,49.8,52,2.25,2.71,18,52,236,125,93,67,50.8%,17.6%,
ZCTA5 93673,713,368,345,29.7,31.7,27.8,4.35,4.5,60,222,450,142,103,77,48.4%,31.1%,
ZCTA5 93675,"3,721","1,898","1,823",46.4,45.7,47,2.65,3.02,203,832,"2,772","1,330",994,636,49.0%,22.4%,
ZCTA5 93701,"12,529","6,404","6,125",24.2,24.2,24.1,3.78,4.22,"1,548","4,764","7,021","1,322",842,540,48.9%,38.0%,
ZCTA5 93702,"48,607","24,493","24,114",24.4,24.2,24.6,4.06,4.43,"5,372","18,071","27,284","6,632","4,790","3,364",49.6%,37.2%,
ZCTA5 93703,"31,868","15,812","16,056",28,27.2,28.9,3.34,3.84,"3,134","10,527","19,550","5,405","3,952","2,810",50.4%,33.0%,
ZCTA5 93704,"27,156","13,125","14,031",37,34.4,39.5,2.50,3.12,"1,972","6,512","19,527","7,186","5,330","3,734",51.7%,24.0%,
ZCTA5 93705,"36,703","17,566","19,137",29.3,27.9,30.7,3.01,3.56,"3,571","11,610","23,309","7,048","5,329","3,882",52.1%,31.6%,
ZCTA5 93706,"41,087","21,022","20,065",27.1,26.7,27.4,3.83,4.21,"4,181","14,210","24,451","6,967","5,088","3,642",48.8%,34.6%,
ZCTA5 93710,"30,202","14,350","15,852",27.7,27.2,28.4,2.59,3.1,"2,053","6,296","20,297","6,477","5,072","3,766",52.5%,20.8%,
ZCTA5 93711,"36,731","17,551","19,180",42.7,40.4,45.1,2.37,2.9,"1,897","7,282","28,163","12,625","9,759","6,873",52.2%,19.8%,
ZCTA5 93720,"45,191","21,362","23,829",37.4,35.4,39,2.58,3.14,"2,596","11,083","32,318","11,110","8,067","5,694",52.7%,24.5%,
ZCTA5 93721,"6,959","4,620","2,339",32.6,32.5,33,2.17,3.44,398,982,"5,522","1,316","1,038",792,33.6%,14.1%,
ZCTA5 93722,"76,448","37,520","38,928",29.5,28.5,30.4,3.24,3.63,"6,811","24,489","48,275","11,750","7,982","5,223",50.9%,32.0%,
ZCTA5 93723,"9,547","4,824","4,723",33.4,33.3,33.6,3.33,3.66,779,"2,694","6,472","2,057","1,462",978,49.5%,28.2%,
ZCTA5 93725,"24,979","12,649","12,330",27.9,27.4,28.4,3.83,4.16,"2,357","8,352","15,211","4,354","3,140","2,212",49.4%,33.4%,
ZCTA5 93726,"40,705","19,761","20,944",28.6,27.5,29.8,2.89,3.48,"3,478","11,425","26,797","7,629","5,704","4,147",51.5%,28.1%,
ZCTA5 93727,"71,820","35,265","36,555",28.7,27.9,29.6,3.28,3.75,"6,835","22,385","45,722","13,173","9,759","6,861",50.9%,31.2%,
ZCTA5 93728,"15,743","7,932","7,811",32.7,32,33.4,2.68,3.5,"1,181","4,079","10,943","3,176","2,225","1,534",49.6%,25.9%,
ZCTA5 93730,"9,941","4,864","5,077",39.6,38.5,40.5,2.74,3.18,596,"2,690","6,943","2,488","1,783","1,213",51.1%,27.1%,
ZCTA5 93901,"26,863","13,056","13,807",36.2,34.3,38,2.61,3.23,"1,987","6,738","19,014","6,528","4,793","3,527",51.4%,25.1%,
ZCTA5 93905,"61,087","31,768","29,319",25.5,25.3,25.7,4.84,4.78,"6,936","21,725","35,802","6,201","4,179","2,778",48.0%,35.6%,
ZCTA5 93906,"59,461","29,675","29,786",30.2,29.3,31,3.46,3.87,"5,192","17,784","38,629","10,020","7,154","4,945",50.1%,29.9%,
ZCTA5 93907,"21,726","10,897","10,829",37.5,36.4,38.5,3.06,3.46,"1,503","5,485","15,284","5,331","3,664","2,298",49.8%,25.2%,
ZCTA5 93908,"13,043","6,479","6,564",44.9,44.6,45.1,2.81,3.11,658,"3,192","9,436","4,189","3,041","2,071",50.3%,24.5%,
ZCTA5 93920,"1,369",732,637,44.5,46.1,42.6,2.04,2.84,58,215,"1,115",462,318,165,46.5%,15.7%,
ZCTA5 93921,"3,281","1,428","1,853",59.4,58.8,59.7,1.74,2.38,72,327,"2,904","1,925","1,596","1,194",56.5%,10.0%,
ZCTA5 93923,"12,073","5,521","6,552",58.9,57.7,59.7,2.03,2.58,290,"1,654","10,191","6,830","5,750","4,449",54.3%,13.7%,
ZCTA5 93924,"6,279","3,088","3,191",51.6,51.7,51.4,2.33,2.79,224,"1,083","5,033","2,730","2,013","1,225",50.8%,17.2%,
ZCTA5 93925,"1,671",851,820,28.1,26.5,29.5,4.27,4.28,146,582,"1,012",252,163,107,49.1%,34.8%,
ZCTA5 93926,"8,726","4,473","4,253",27.2,26.7,27.9,4.24,4.41,886,"3,031","5,250","1,187",820,541,48.7%,34.7%,
ZCTA5 93927,"17,547","9,165","8,382",26,25.5,26.5,4.54,4.63,"1,990","6,196","10,346","2,010","1,335",911,47.8%,35.3%,
ZCTA5 93928,506,368,138,32.3,32,34.3,3.09,3.42,15,77,389,33,20,14,27.3%,15.2%,
ZCTA5 93930,"15,866","8,438","7,428",27.3,26.8,28.1,3.97,4.21,"1,569","5,202","9,765","2,252","1,603","1,096",46.8%,32.8%,
ZCTA5 93932,592,294,298,45.3,47.1,43.6,2.46,3.14,33,149,431,183,121,72,50.3%,25.2%,
ZCTA5 93933,"22,406","10,711","11,695",32.7,31.6,33.8,2.71,3.23,"1,486","5,221","15,877","4,736","3,383","2,315",52.2%,23.3%,
ZCTA5 93940,"31,615","15,852","15,763",38.5,35.9,41.4,2.12,2.81,"1,577","4,990","24,917","9,314","7,134","5,086",49.9%,15.8%,
ZCTA5 93943,6,3,3,42.5,52.5,32.5,2.00,3,0,0,6,1,1,0,50.0%,0.0%,
ZCTA5 93950,"15,046","6,924","8,122",48.1,45.2,50.1,2.09,2.74,614,"2,481","12,165","5,911","4,535","3,244",54.0%,16.5%,
ZCTA5 93953,"4,509","2,167","2,342",57.8,57.4,58.2,2.17,2.53,98,746,"3,614","2,487","2,054","1,563",51.9%,16.5%,
ZCTA5 93954,302,155,147,27.5,27.8,27.4,3.82,4,26,95,192,50,35,20,48.7%,31.5%,
ZCTA5 93955,"33,359","16,738","16,621",30.6,30.2,31.1,3.15,3.56,"2,949","8,982","22,071","5,711","4,083","2,854",49.8%,26.9%,
ZCTA5 93960,"27,080","18,747","8,333",34.9,37.1,28.5,4.14,4.34,"1,689","6,063","20,018","3,542","2,218","1,315",30.8%,22.4%,
ZCTA5 93962,673,326,347,39.4,38,40.2,2.94,3.38,42,172,477,182,112,76,51.6%,25.6%,
ZCTA5 94002,"25,992","12,694","13,298",40.9,40.1,41.7,2.39,2.95,"1,713","5,431","19,802","7,050","5,335","3,856",51.2%,20.9%,
ZCTA5 94005,"4,282","2,148","2,134",41.7,41.9,41.5,2.34,2.94,284,825,"3,376","1,124",725,429,49.8%,19.3%,
ZCTA5 94010,"40,737","19,498","21,239",42.3,41.7,42.9,2.45,3.07,"2,414","9,411","30,540","11,807","8,887","6,454",52.1%,23.1%,
ZCTA5 94014,"47,014","23,329","23,685",37.5,35.7,39.4,3.46,3.77,"2,706","9,711","35,388","11,642","8,538","5,877",50.4%,20.7%,
ZCTA5 94015,"60,927","29,916","31,011",39.1,37.2,40.9,3.05,3.5,"3,181","11,306","47,210","16,874","12,637","8,763",50.9%,18.6%,
ZCTA5 94019,"18,424","9,079","9,345",42.3,41.1,43.5,2.74,3.23,"1,224","4,289","13,586","5,353","3,797","2,445",50.7%,23.3%,
ZCTA5 94020,"1,559",822,737,48.6,48.6,48.6,2.17,2.61,61,229,"1,300",532,332,179,47.3%,14.7%,
ZCTA5 94021,192,94,98,38,37.8,39,2.04,3,7,33,156,48,27,12,51.0%,17.2%,
ZCTA5 94022,"18,500","8,937","9,563",48.2,47.8,48.7,2.60,3.02,858,"4,405","13,758","6,957","5,473","4,108",51.7%,23.8%,
ZCTA5 94024,"22,385","10,940","11,445",46.3,46.3,46.2,2.81,3.11,"1,188","5,934","16,048","7,421","5,733","4,288",51.1%,26.5%,
ZCTA5 94025,"40,526","19,730","20,796",39,38.2,39.6,2.56,3.2,"3,090","9,965","29,738","10,232","7,841","5,621",51.3%,24.6%,
ZCTA5 94027,"7,089","3,472","3,617",48.3,47.6,48.8,2.78,3.02,289,"1,566","5,197","2,767","2,178","1,600",51.0%,22.1%,
ZCTA5 94028,"6,534","3,234","3,300",50,49.2,50.8,2.53,2.94,315,"1,544","4,889","2,679","2,124","1,607",50.5%,23.6%,
ZCTA5 94030,"21,536","10,202","11,334",44.8,43.2,46.1,2.65,3.15,"1,075","4,337","16,508","6,984","5,523","4,237",52.6%,20.1%,
ZCTA5 94037,"2,913","1,401","1,512",46,44.9,46.8,2.62,3.02,158,619,"2,221",942,648,356,51.9%,21.2%,
ZCTA5 94038,"3,040","1,515","1,525",43.1,42.3,43.9,2.83,3.35,175,699,"2,245",942,615,359,50.2%,23.0%,
ZCTA5 94040,"32,996","16,752","16,244",35.7,34.6,37,2.38,3.06,"2,328","7,090","25,055","6,909","5,161","3,773",49.2%,21.5%,
ZCTA5 94041,"13,292","6,853","6,439",35.3,34.9,35.8,2.22,2.95,914,"2,386","10,612","2,459","1,745","1,164",48.4%,18.0%,
ZCTA5 94043,"28,358","14,373","13,985",36.2,35.5,37,2.29,3,"2,112","5,417","22,285","5,808","4,223","2,903",49.3%,19.1%,
ZCTA5 94044,"37,296","18,231","19,065",41.5,40.3,42.8,2.65,3.12,"2,024","7,722","28,383","10,208","7,104","4,521",51.1%,20.7%,
ZCTA5 94060,"1,554",843,711,38,38.4,37.3,2.88,3.48,106,378,"1,113",398,273,182,45.8%,24.3%,
ZCTA5 94061,"36,245","17,727","18,518",37,35.5,38.4,2.69,3.22,"2,719","8,576","26,519","8,211","6,042","4,208",51.1%,23.7%,
ZCTA5 94062,"25,876","12,710","13,166",44.8,44.4,45.2,2.57,3.02,"1,429","5,650","19,604","7,986","5,861","3,949",50.9%,21.8%,
ZCTA5 94063,"30,949","16,512","14,437",31,30.6,31.5,3.39,3.86,"2,591","8,233","21,323","4,600","3,157","2,067",46.6%,26.6%,
ZCTA5 94065,"11,359","5,423","5,936",40.1,39.6,40.6,2.39,2.97,907,"2,645","8,547","2,538","1,800","1,157",52.3%,23.3%,
ZCTA5 94066,"41,130","20,267","20,863",38.8,37.5,40.2,2.77,3.31,"2,478","8,635","31,075","10,426","7,553","5,215",50.7%,21.0%,
ZCTA5 94070,"29,166","14,087","15,079",42.7,42,43.5,2.46,2.99,"1,922","6,866","21,763","8,158","6,009","4,199",51.7%,23.5%,
ZCTA5 94074,214,121,93,43,42.3,45.3,2.64,3.17,14,37,172,68,47,26,43.5%,17.3%,
ZCTA5 94080,"63,975","31,577","32,398",38.1,36.5,39.7,3.01,3.45,"3,952","13,883","47,700","16,036","11,964","8,381",50.6%,21.7%,
ZCTA5 94085,"21,247","11,157","10,090",32.1,32.2,32,2.75,3.32,"1,907","4,731","15,860","3,021","2,007","1,267",47.5%,22.3%,
ZCTA5 94086,"45,697","23,409","22,288",33.8,33.7,34,2.48,3.06,"3,985","9,522","35,147","8,182","6,042","4,260",48.8%,20.8%,
ZCTA5 94087,"54,293","26,705","27,588",38.8,38.3,39.3,2.66,3.15,"4,018","13,648","39,337","13,016","10,076","7,593",50.8%,25.1%,
ZCTA5 94089,"19,245","9,497","9,748",37.4,36,39.3,2.64,3.21,"1,394","3,647","15,068","4,898","3,655","2,532",50.7%,19.0%,
ZCTA5 94102,"31,176","18,681","12,495",40.9,42.7,38.2,1.65,2.89,874,"2,607","27,521","8,699","6,229","4,323",40.1%,8.4%,
ZCTA5 94103,"27,170","16,322","10,848",39.3,39.8,38,1.85,3.03,799,"2,424","24,107","6,448","4,689","3,359",39.9%,8.9%,
ZCTA5 94104,406,218,188,47.6,47.4,47.8,1.85,2.61,21,49,349,141,106,78,46.3%,12.1%,
ZCTA5 94105,"5,846","3,287","2,559",35.5,36.4,34.3,1.60,2.34,210,328,"5,457",824,547,289,43.8%,5.6%,
ZCTA5 94107,"26,599","14,337","12,262",36.2,36.8,35.4,1.85,2.61,"1,299","2,684","23,532","4,707","3,424","2,372",46.1%,10.1%,
ZCTA5 94108,"13,768","6,648","7,120",43.8,42.9,44.6,1.77,2.72,326,"1,090","12,310","4,936","3,959","3,037",51.7%,7.9%,
ZCTA5 94109,"55,984","28,503","27,481",37.6,38.4,36.7,1.62,2.61,"1,278","3,352","50,967","15,306","12,035","9,038",49.1%,6.0%,
ZCTA5 94110,"69,333","36,429","32,904",36.2,36.2,36.1,2.49,3.2,"3,527","9,730","57,939","13,224","9,338","6,314",47.5%,14.0%,
ZCTA5 94111,"3,713","1,980","1,733",51.4,50.1,53.2,1.55,2.43,78,217,"3,457","1,644","1,296",943,46.7%,5.8%,
ZCTA5 94112,"79,407","39,385","40,022",39.8,38,41.7,3.58,3.84,"4,025","14,592","61,750","21,674","15,914","11,051",50.4%,18.4%,
ZCTA5 94114,"31,124","18,396","12,728",40.4,42.1,37.5,1.90,2.68,"1,328","3,046","27,803","6,839","4,690","2,939",40.9%,9.8%,
ZCTA5 94115,"33,021","15,503","17,518",36.9,36.9,36.9,1.86,2.71,"1,356","3,635","28,701","8,538","6,868","5,282",53.1%,11.0%,
ZCTA5 94116,"43,698","21,178","22,520",43.3,41.6,45,2.81,3.22,"1,873","7,007","35,299","14,077","10,542","7,542",51.5%,16.0%,
ZCTA5 94117,"39,169","19,906","19,263",33.8,35.4,32,2.01,2.67,"1,578","3,427","33,437","6,254","4,473","2,965",49.2%,8.7%,
ZCTA5 94118,"38,319","18,071","20,248",38.6,37.8,39.4,2.20,2.92,"1,974","5,395","32,067","10,353","7,992","5,865",52.8%,14.1%,
ZCTA5 94121,"41,203","19,801","21,402",42.4,41.2,43.6,2.36,2.99,"1,769","5,989","34,245","12,926","9,841","7,023",51.9%,14.5%,
ZCTA5 94122,"56,023","27,152","28,871",39.1,38.4,39.8,2.51,3.11,"2,461","7,714","46,735","15,265","11,376","7,912",51.5%,13.8%,
ZCTA5 94123,"23,088","10,648","12,440",35,35.6,34.3,1.68,2.59,"1,041","2,119","20,819","4,857","3,920","2,933",53.9%,9.2%,
ZCTA5 94124,"33,996","16,591","17,405",34.6,33.5,35.8,3.46,3.83,"2,402","8,399","23,951","7,288","5,185","3,559",51.2%,24.7%,
ZCTA5 94127,"19,289","9,682","9,607",45.6,44.7,46.5,2.55,2.99,"1,042","3,750","15,154","6,522","4,957","3,457",49.8%,19.4%,
ZCTA5 94128,69,50,19,46.5,49,41.5,,0,1,2,67,20,11,5,27.5%,2.9%,
ZCTA5 94129,"3,183","1,665","1,518",30,30.3,29.6,2.92,3.23,276,686,"2,458",203,120,66,47.7%,21.6%,
ZCTA5 94130,"2,880","1,561","1,319",26.2,26.3,26.1,3.33,3.49,125,555,"1,948",167,81,30,45.8%,19.3%,
ZCTA5 94131,"26,881","14,061","12,820",42.3,42.9,41.4,2.05,2.77,"1,479","3,556","22,984","7,755","5,877","4,022",47.7%,13.2%,
ZCTA5 94132,"28,129","12,994","15,135",32.9,33,32.8,2.59,3.12,992,"3,692","20,142","6,919","5,319","3,817",53.8%,13.1%,
ZCTA5 94133,"26,237","12,907","13,330",43.9,42.3,45.5,1.94,2.83,764,"2,662","23,102","9,345","7,477","5,600",50.8%,10.1%,
ZCTA5 94134,"40,798","19,930","20,868",39.5,37.7,41.2,3.59,3.92,"2,154","8,511","30,688","10,901","8,033","5,702",51.1%,20.9%,
ZCTA5 94158,"4,792","2,623","2,169",33.1,33.9,31.9,1.75,2.47,152,307,"4,403",626,442,324,45.3%,6.4%,
ZCTA5 94301,"16,995","8,443","8,552",43.2,41.4,44.9,2.20,2.94,862,"3,484","13,264","5,388","4,277","3,239",50.3%,20.5%,
ZCTA5 94303,"45,467","22,629","22,838",32.4,31.3,33.6,3.42,3.8,"3,586","13,678","30,111","8,461","6,280","4,491",50.2%,30.1%,
ZCTA5 94304,"3,627","1,745","1,882",39.6,38.4,41.3,1.85,2.7,243,575,"3,011","1,224","1,085",971,51.9%,15.9%,
ZCTA5 94305,"13,862","7,512","6,350",22.6,22.9,22.1,1.97,2.76,409,926,"9,092","1,045",819,633,45.8%,6.7%,
ZCTA5 94306,"26,469","12,933","13,536",41.4,39.7,42.7,2.46,3.07,"1,429","6,324","19,619","7,236","5,448","3,998",51.1%,23.9%,
ZCTA5 94401,"34,429","17,254","17,175",36.1,34.7,37.9,2.63,3.4,"2,409","7,258","25,968","7,837","5,928","4,462",49.9%,21.1%,
ZCTA5 94402,"23,981","11,638","12,343",42.2,40.9,43.6,2.52,3.02,"1,592","5,451","18,017","7,160","5,425","3,963",51.5%,22.7%,
ZCTA5 94403,"39,642","19,142","20,500",39.6,38.3,40.9,2.49,3.06,"2,635","8,182","30,388","10,392","7,949","5,856",51.7%,20.6%,
ZCTA5 94404,"33,749","16,234","17,515",39.5,38.5,40.5,2.45,3,"2,280","7,337","25,794","8,810","6,743","4,610",51.9%,21.7%,
ZCTA5 94501,"60,212","28,814","31,398",40,38.6,41,2.35,3.05,"3,493","12,145","46,181","15,855","11,589","7,849",52.1%,20.2%,
ZCTA5 94502,"13,600","6,501","7,099",44.9,43.6,45.9,2.67,3.08,689,"3,159","10,114","4,270","3,083","2,126",52.2%,23.2%,
ZCTA5 94503,"19,681","9,641","10,040",35.6,34,36.8,3.42,3.77,"1,367","5,563","13,214","3,982","2,799","1,891",51.0%,28.3%,
ZCTA5 94505,"13,403","6,735","6,668",39.6,40.1,39,2.82,3.12,878,"3,599","9,388","3,126","2,369","1,493",49.8%,26.9%,
ZCTA5 94506,"22,452","10,896","11,556",43.4,43.5,43.4,2.94,3.19,"1,145","6,419","15,445","5,845","3,888","2,316",51.5%,28.6%,
ZCTA5 94507,"14,889","7,386","7,503",47.9,47.9,47.9,2.81,3.04,598,"3,790","10,707","5,275","3,954","2,657",50.4%,25.5%,
ZCTA5 94508,"3,661","1,847","1,814",27.6,26.9,28.3,2.50,2.89,128,527,"2,436",833,598,369,49.5%,14.4%,
ZCTA5 94509,"62,439","30,455","31,984",33.8,32.5,35,2.98,3.4,"4,694","16,760","42,762","13,249","9,428","6,386",51.2%,26.8%,
ZCTA5 94510,"27,088","13,036","14,052",42.9,41.8,43.9,2.53,3.02,"1,293","6,335","19,822","7,830","5,445","3,381",51.9%,23.4%,
ZCTA5 94511,"2,137","1,143",994,52.8,53,52.5,2.07,2.66,74,260,"1,819",974,758,574,46.5%,12.2%,
ZCTA5 94512,108,60,48,47,51,42.5,2.70,2.93,4,15,87,42,30,17,44.4%,13.9%,
ZCTA5 94513,"54,605","26,575","28,030",35.9,34.7,36.9,3.10,3.47,"3,763","16,822","35,592","10,993","8,521","6,292",51.3%,30.8%,
ZCTA5 94514,"1,360",722,638,33,31.3,35.8,2.95,3.43,84,425,863,287,206,129,46.9%,31.3%,
ZCTA5 94515,"7,050","3,551","3,499",43.4,41.5,45.4,2.43,3.07,402,"1,453","5,406","2,483","1,926","1,398",49.6%,20.6%,
ZCTA5 94516,211,116,95,43.6,43.3,44.3,2.40,3.12,8,41,161,59,44,19,45.0%,19.4%,
ZCTA5 94517,"12,385","6,079","6,306",45.1,44.5,45.6,2.69,3.04,525,"2,943","9,058","3,778","2,769","1,800",50.9%,23.8%,
ZCTA5 94518,"26,778","13,226","13,552",40.6,38.6,42.6,2.61,3.09,"1,597","5,626","20,303","7,396","5,442","3,801",50.6%,21.0%,
ZCTA5 94519,"18,453","9,199","9,254",38.5,37,39.9,2.73,3.16,"1,193","4,044","13,740","4,523","3,346","2,301",50.1%,21.9%,
ZCTA5 94520,"37,208","19,255","17,953",31.1,30.5,31.9,2.95,3.54,"3,321","9,556","26,098","6,025","4,232","2,829",48.3%,25.7%,
ZCTA5 94521,"41,249","19,781","21,468",41.1,39.9,42.3,2.64,3.09,"2,278","9,100","30,644","11,183","8,183","5,621",52.0%,22.1%,
ZCTA5 94523,"33,569","16,276","17,293",40.7,38.7,42.6,2.38,2.96,"1,832","6,638","25,383","9,356","6,807","4,661",51.5%,19.8%,
ZCTA5 94525,"3,127","1,530","1,597",45.7,45.2,46.1,2.14,2.69,133,473,"2,555","1,011",709,471,51.1%,15.1%,
ZCTA5 94526,"31,102","15,092","16,010",45.5,44.8,46,2.63,3.04,"1,454","7,849","22,454","9,948","7,433","5,138",51.5%,25.2%,
ZCTA5 94528,964,472,492,50.7,50.8,50.6,2.63,2.93,20,221,716,404,309,240,51.0%,22.9%,
ZCTA5 94530,"23,877","11,472","12,405",43.6,41.6,45.6,2.30,2.83,"1,342","4,120","19,307","7,860","6,017","4,269",52.0%,17.3%,
ZCTA5 94531,"40,290","19,547","20,743",33.7,32.2,34.9,3.45,3.7,"2,628","12,148","26,153","6,636","4,254","2,650",51.5%,30.2%,
ZCTA5 94533,"69,277","33,947","35,330",33.1,31.6,34.7,2.99,3.46,"5,282","18,799","47,144","14,218","10,503","7,565",51.0%,27.1%,
ZCTA5 94534,"36,416","17,857","18,559",39.3,38.7,39.9,2.88,3.27,"2,183","9,186","25,895","8,887","6,211","4,161",51.0%,25.2%,
ZCTA5 94535,"3,793","2,129","1,664",22.1,22.1,22.2,3.49,3.6,499,"1,259","2,144",30,21,7,43.9%,33.2%,
ZCTA5 94536,"68,790","34,019","34,771",36.6,36,37.2,2.86,3.28,"5,200","16,481","50,043","14,942","10,878","7,624",50.5%,24.0%,
ZCTA5 94538,"61,148","30,703","30,445",34.4,34,35,2.91,3.34,"4,657","13,845","45,232","11,579","8,298","5,837",49.8%,22.6%,
ZCTA5 94539,"50,031","24,807","25,224",40.8,40.4,41,3.19,3.41,"2,536","13,572","35,080","11,334","7,875","5,268",50.4%,27.1%,
ZCTA5 94541,"61,635","30,594","31,041",34,33.2,34.9,2.92,3.49,"4,729","15,390","43,872","12,486","8,885","6,118",50.4%,25.0%,
ZCTA5 94542,"12,717","6,196","6,521",34.5,34.6,34.4,2.69,3.11,636,"2,181","9,239","2,939","2,045","1,278",51.3%,17.2%,
ZCTA5 94544,"73,026","36,245","36,781",32.3,31.4,33.2,3.31,3.72,"5,887","19,248","50,495","13,772","9,801","6,867",50.4%,26.4%,
ZCTA5 94545,"29,707","14,590","15,117",36.8,35.3,38.3,3.25,3.66,"1,956","6,913","21,601","7,305","5,413","3,777",50.9%,23.3%,
ZCTA5 94546,"42,209","20,219","21,990",41.2,40,42.4,2.58,3.1,"2,322","9,497","31,208","11,726","8,720","6,206",52.1%,22.5%,
ZCTA5 94547,"24,092","11,416","12,676",39,37.3,40.5,2.96,3.38,"1,387","5,488","17,623","6,153","4,187","2,527",52.6%,22.8%,
ZCTA5 94548,412,229,183,42.5,41.9,42.6,2.73,3.1,20,89,305,113,85,68,44.4%,21.6%,
ZCTA5 94549,"26,864","13,046","13,818",45.9,45.1,46.5,2.57,3,"1,294","6,527","19,689","8,980","6,699","4,660",51.4%,24.3%,
ZCTA5 94550,"46,896","23,071","23,825",40.7,40.1,41.2,2.72,3.14,"2,796","11,785","33,545","11,611","8,581","6,057",50.8%,25.1%,
ZCTA5 94551,"36,867","18,559","18,308",35.9,35.2,36.8,2.82,3.26,"2,665","9,417","26,072","6,607","4,481","2,779",49.7%,25.5%,
ZCTA5 94552,"14,454","7,026","7,428",43.3,43.2,43.3,2.93,3.22,762,"3,559","10,460","3,915","2,607","1,633",51.4%,24.6%,
ZCTA5 94553,"47,065","23,215","23,850",41.9,40.5,43.2,2.45,2.97,"2,427","9,655","35,675","12,855","8,858","5,753",50.7%,20.5%,
ZCTA5 94555,"34,143","16,923","17,220",36.3,36.4,36.1,3.17,3.49,"2,868","9,322","23,868","6,745","4,775","3,087",50.4%,27.3%,
ZCTA5 94556,"15,229","7,259","7,970",47,46.3,47.4,2.57,2.95,564,"3,520","10,926","5,451","4,132","3,065",52.3%,23.1%,
